month_sin,month_cos,week_sin,week_cos,today_is_holiday,tomorrow_is_holiday,minute_of_day,temp_h,temp_l,weat_sun,weat_cloud,weat_rain,weat_snow,weat_light,weat_storm
-0.9033558023246842,-0.4288919379124841,0.9749279121818236,-0.22252093395631434,0,0,0.2513888888888889,25.7,16.8,1,1,0,0,0,0
-0.8800122039735356,-0.4749510720670501,-0.7818314824680299,0.6234898018587334,0,0,0.5569444444444445,22.8,16.7,1,1,1,0,0,0
-0.8800122039735356,-0.4749510720670501,-0.7818314824680299,0.6234898018587334,0,0,0.06388888888888888,22.8,16.7,1,1,1,0,0,0
-0.8717063187093217,-0.49002866642905946,-0.9749279121818235,-0.2225209339563146,0,0,0.325,26.4,17.9,1,0,0,0,0,0
-0.8543221697498269,-0.5197438121555157,0.43388373911755823,-0.900968867902419,0,0,0.6388888888888888,23.9,19.4,0,1,1,0,0,0
-0.8543221697498269,-0.5197438121555157,0.43388373911755823,-0.900968867902419,0,0,0.1111111111111111,23.9,19.4,0,1,1,0,0,0
-0.8452490573530633,-0.5343725582809785,0.9749279121818236,-0.22252093395631434,0,0,0.5708333333333333,30.9,22.3,0,1,0,0,0,0
-0.8452490573530633,-0.5343725582809785,0.9749279121818236,-0.22252093395631434,0,0,0.2638888888888889,30.9,22.3,0,1,0,0,0,0
-0.8452490573530633,-0.5343725582809785,0.9749279121818236,-0.22252093395631434,0,0,0.10277777777777777,30.9,22.3,0,1,0,0,0,0
-0.8263541987239094,-0.5631507242749189,0.0,1.0,0,0,0.4861111111111111,28.0,18.2,1,0,0,0,0,0
-0.8064799463209447,-0.5912614448635783,-0.9749279121818235,-0.2225209339563146,0,0,0.05555555555555555,31.9,23.4,1,1,1,0,0,0
-0.7961828637826154,-0.6050560696488494,-0.433883739117558,-0.9009688679024191,0,0,0.2986111111111111,30.9,23.0,1,1,1,0,0,0
-0.7856498550787144,-0.6186714032625034,0.43388373911755823,-0.900968867902419,0,0,0.6930555555555555,32.6,23.7,1,1,0,0,0,0
-0.7856498550787144,-0.6186714032625034,0.43388373911755823,-0.900968867902419,0,0,0.1375,32.6,23.7,1,1,0,0,0,0
-0.7856498550787144,-0.6186714032625034,0.43388373911755823,-0.900968867902419,0,0,0.08333333333333333,32.6,23.7,1,1,0,0,0,0
-0.7748840413670406,-0.6321034111873489,0.9749279121818236,-0.22252093395631434,0,0,0.0625,30.4,21.9,0,1,1,0,0,0
-0.7412220108485957,-0.6712599575675315,-0.7818314824680299,0.6234898018587334,0,0,0.36666666666666664,22.2,20.1,0,1,1,0,1,0
-0.7295575540864876,-0.6839194216246105,-0.9749279121818235,-0.2225209339563146,0,0,0.15138888888888888,23.8,21.0,0,1,1,0,1,0
-0.7295575540864876,-0.6839194216246105,-0.9749279121818235,-0.2225209339563146,0,0,0.04027777777777778,23.8,21.0,0,1,1,0,1,0
-0.7176769136759615,-0.6963762255968727,-0.433883739117558,-0.9009688679024191,0,0,0.09861111111111111,26.1,20.8,0,1,1,0,0,0
-0.5737722679043243,-0.8190148866680802,0.0,1.0,0,0,0.6180555555555556,29.7,23.5,1,1,1,0,0,0
-0.5737722679043243,-0.8190148866680802,0.0,1.0,0,0,0.5777777777777777,29.7,23.5,1,1,1,0,0,0
-0.5452404385406507,-0.8382797052177744,-0.9749279121818235,-0.2225209339563146,0,0,0.17916666666666667,23.1,20.3,0,1,1,0,0,0
-0.5307300481619331,-0.8475409228928312,-0.433883739117558,-0.9009688679024191,0,0,0.7375,23.2,20.0,0,1,0,0,0,0
-0.5160623910158526,-0.8565509959010037,0.43388373911755823,-0.900968867902419,0,0,0.30416666666666664,25.9,20.2,1,1,0,0,0,0
-0.5012418134457756,-0.8653072543632061,0.9749279121818236,-0.22252093395631434,0,0,0.2708333333333333,25.0,21.2,0,1,1,0,0,0
-0.471159507673864,-0.8820480249558535,0.0,1.0,0,0,0.6388888888888888,27.3,22.0,0,1,1,0,0,0
-0.471159507673864,-0.8820480249558535,0.0,1.0,0,0,0.3875,27.3,22.0,0,1,1,0,0,0
-0.455906693508459,-0.8900275764346766,-0.7818314824680299,0.6234898018587334,0,0,0.20555555555555555,23.7,21.8,0,0,1,0,0,0
-0.4405187843504952,-0.8977433935342336,-0.9749279121818235,-0.2225209339563146,0,0,0.36944444444444446,27.9,21.9,0,1,0,0,0,0
-0.42500033996955394,-0.9051931898913975,-0.433883739117558,-0.9009688679024191,0,0,0.7319444444444444,27.5,19.1,0,1,0,0,0,0
-0.40935595881562115,-0.9123747579707274,0.43388373911755823,-0.900968867902419,0,0,0.1486111111111111,29.4,21.1,1,0,0,0,0,0
-0.3935902766564665,-0.9192859697186105,0.9749279121818236,-0.22252093395631434,0,0,0.775,27.0,22.4,0,1,1,0,0,0
-0.3935902766564665,-0.9192859697186105,0.9749279121818236,-0.22252093395631434,0,0,0.21666666666666667,27.0,22.4,0,1,1,0,0,0
-0.3456123126707333,-0.9383773917408642,-0.7818314824680299,0.6234898018587334,0,0,0.12083333333333333,31.3,24.2,0,1,1,0,1,0
-0.3456123126707333,-0.9383773917408642,-0.7818314824680299,0.6234898018587334,0,0,0.009722222222222222,31.3,24.2,0,1,1,0,1,0
-0.3294084822245302,-0.9441875088341994,-0.9749279121818235,-0.2225209339563146,0,0,0.33055555555555555,31.8,22.8,1,1,0,0,0,0
-0.2802306751992161,-0.9599326896597445,0.9749279121818236,-0.22252093395631434,0,0,0.24444444444444444,25.9,20.6,0,1,1,0,1,0
-0.2802306751992161,-0.9599326896597445,0.9749279121818236,-0.22252093395631434,0,0,0.18472222222222223,25.9,20.6,0,1,1,0,1,0
-0.230305670230612,-0.973118337233262,-0.7818314824680299,0.6234898018587334,0,0,0.20694444444444443,32.7,23.5,1,0,1,0,1,0
-0.19667288979357625,-0.9804691603616321,-0.433883739117558,-0.9009688679024191,0,0,0.3680555555555556,29.7,23.2,0,1,1,0,0,0
-0.17976658572556214,-0.9837092937736098,0.43388373911755823,-0.900968867902419,0,0,0.8083333333333333,33.0,25.2,0,1,0,0,0,0
-0.17976658572556214,-0.9837092937736098,0.43388373911755823,-0.900968867902419,0,0,0.22361111111111112,33.0,25.2,0,1,0,0,0,0
-0.16280701293851646,-0.9866579328916572,0.9749279121818236,-0.22252093395631434,0,0,0.24583333333333332,30.3,22.5,0,1,0,0,0,0
-0.12874817745258066,-0.99167731989929,0.0,1.0,0,0,0.6888888888888889,33.0,22.2,1,1,0,0,0,0
-0.12874817745258066,-0.99167731989929,0.0,1.0,0,0,0.6736111111111112,33.0,22.2,1,1,0,0,0,0
-0.07738647923346322,-0.9970011699250151,-0.433883739117558,-0.9009688679024191,0,0,0.24166666666666667,29.2,19.6,1,0,0,0,0,0
-0.04302223300453034,-0.99907411510223,0.9749279121818236,-0.22252093395631434,0,0,0.7305555555555555,25.1,20.6,0,1,1,0,0,0
-0.04302223300453034,-0.99907411510223,0.9749279121818236,-0.22252093395631434,0,0,0.625,25.1,20.6,0,1,1,0,0,0
